Variable,N,Moyenne,Médiane,Écart-type,Min,Max,Q25,Q75
Taux passoires (%),651,30.68,33.33,19.79,0.0,100.0,20.0,40.0
Revenu médian (€/an),491,20008.43,19777.0,3805.17,11520.0,40577.0,17496.5,22299.5
Taux pauvreté (%),491,23.78,23.9,5.16,3.0,37.9,20.7,27.2
Population,491,3191.31,836.0,13889.77,13.0,230890.0,376.0,2294.5
Surface moyenne (m²),651,75.52,73.7,17.25,40.8,140.2,63.0,85.8
Consommation énergie (kWh/m²/an),651,374.88,375.0,75.52,153.2,611.8,321.85,431.05
Année construction moyenne,651,1974.88,1975.4,10.22,1940.4,2004.0,1968.0,1982.2
Passoires / 1000 hab,491,4.53,1.58,9.65,0.0,105.26,0.43,4.5
Score priorité (0→1),491,0.38,0.37,0.1,0.0,0.69,0.31,0.43
